Cluster,N_Muestras,N_Features,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_MAPE,Test_MAPE,CV_Score,Overfitting_Ratio,Best_Kernel,Best_C,Best_Gamma,Best_Epsilon
0,104,24,0.256660989706315,0.27037498899888135,1152047.9323594973,1481693.6189268911,5849380367068.375,4969097780752.244,2418549.227753774,2229147.3214555033,54.409389616150136,311.69858337849223,0.10789799992183388,0.949277855383942,rbf,0.32763211057611924,0.09999999999999999,0.01
1,258,24,0.8355665276631125,0.15751548926200387,2587034.6788542992,5342224.615175064,7619140267972.422,49313152846188.75,2760279.0199493277,7022332.436319769,58.02464399011236,93.81215191070335,0.28166623285903675,5.3046626181204966,rbf,100.0,0.09999999999999999,0.4689923430042777
3,81,24,0.5443504355454356,-0.3180142334397946,10859647.494901704,13635675.047250612,185372924861638.06,296783331993284.56,13615172.597570626,17227400.61626491,30.70767980035864,29.093479478929673,0.30587199342856747,1.711717207300692,linear,0.48369118481678725,0.08345590292317383,0.5377046748111807
