Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,overallrating,potential,jumping,standingtackle,slidingtackle,understat_xg,strength,agility,volleys,headingaccuracy,longshots,understat_matches,understat_assists,crossing,understat_shots,ballcontrol,acceleration,vision,Valor de mercado actual (numérico),Cluster,Valor_Predicho
jeremy-doku,11.0,69,2,54,6.0,30/06/2028,24/08/2023,1.4873821673340988,-0.3218420435327115,-0.3726291895544919,-0.4782283022476529,-0.4224902431536684,-0.2788525837345488,0.965190056835432,1.342667025017937,0.0193206519752555,-1.130342830749708,-1.224986595093516,0.4158600597714049,0.3313155647534601,1.8069369390001653,0.5718029200555718,-0.9153566856677784,0.7495810314776202,0.5916916890169024,2.958667621181651,0.6379321960575214,1.6777581663122072,0.7698432784357282,1.8203969084454,0.7716317172286516,55000000.0,3,45698892.0
عمر مرموش,24.0,105,2,54,6.0,30/06/2029,23/01/2025,3.965450061153705,-0.3218420435327115,-0.2224616017020763,-0.1201300327930406,-0.4716139691807754,-0.3260751807813587,1.6575789067891142,1.342667025017937,0.6779792420408028,-1.130342830749708,-1.3960422544344462,2.649970797629833,-0.184859494584086,1.5377270255615232,1.6555591437411228,0.5418975899341965,1.1644850858675189,0.5916916890169024,2.0349179723379334,0.3428239594669085,2.700294638963124,1.046007690134471,1.2958372383525942,1.1282698235695414,75000000.0,3,66594852.0
Philip Walter Foden,46.0,196,2,54,6.0,30/06/2027,01/07/2017,,-0.4666130547179576,-0.1223498764671326,-0.5805420935203993,-0.3733665171265614,-0.2316299866877389,2.0037733317659554,1.9446039036124936,-0.7334320223853699,0.1014671624765101,-0.2841804687183989,2.621166136745772,-1.3892679663716938,1.7396344606405048,0.5225412735244104,-0.5636056536259225,1.348886887818585,1.1752727634083169,2.958667621181651,1.129779257041876,3.95522576448925,1.211706337153717,1.2302672795909937,1.484907929910431,130000000.0,2,
Erling Braut Håland,46.0,267,2,54,6.0,30/06/2034,01/07/2022,10.935016012521343,-0.514870058446373,-0.1724057390846044,-0.222443824065787,-0.3242427910994543,-0.5149655689685982,2.6961621817196377,2.747186408405236,1.807108253581741,-0.4082473174791663,-1.0539309357525857,8.573462228800361,2.051899095878614,0.7300972852455971,2.049652315990414,1.2453996540179084,1.348886887818585,0.7862187138140405,1.5730431479160747,0.0477157228762956,4.745367584264959,0.8803090431152254,0.8368475270213891,0.7716317172286516,200000000.0,2,
oscar-bobb,65.0,269,2,54,7.0,30/06/2029,01/07/2023,,-0.3218420435327115,-0.2725174643195482,-0.4270714066112797,-0.1277478869910261,-0.4677429719217884,-0.4195876430719326,1.1420213988197518,-2.5212196239918554,-0.960438004097816,-0.9684031060821204,-0.2498833802141872,-3.02382232094059,0.9993071986842392,0.3254946873997646,-0.5133555061913716,0.1963756256244221,-0.8672609969616332,-0.2744561497713605,0.1460851350731666,-0.7391462235899604,0.659377513756231,1.099127362067792,0.6289764746922957,25000000.0,1,19816550.0
Mohamed Salah Hamed Ghaly محمد صلاح,24.0,104,2,53,14.0,30/06/2027,01/07/2017,,-0.1770710323474654,-0.1724057390846044,-0.4270714066112797,-0.3242427910994543,-0.184407389640929,2.869259394208058,2.5465407822070505,0.5838851577457247,-0.5781521441310585,-0.5407639577297945,5.731972006386689,0.5033739178659755,1.5377270255615232,1.7048207902722845,0.0393961155886878,1.3949873383063514,0.8834822262126095,3.882417270025369,1.424887493632489,4.373536139664625,1.2669392194934654,1.4269771558757955,1.8415460362513207,55000000.0,3,56616816.0
Cody Mathès Gakpo,69.0,287,2,53,7.0,30/06/2028,01/01/2023,3.965450061153705,-0.1288140286190501,-0.32257332693702,-0.5293851978840262,-0.4224902431536684,-0.6094107630622181,1.6575789067891142,1.342667025017937,1.713014169286663,-0.3657711108161933,-0.9684031060821204,1.8784421689105548,0.7614614475347486,0.5954923285262761,1.4585125576164772,1.1448993591488068,1.348886887818585,1.1752727634083169,1.5730431479160747,1.2773333753371825,2.142547472062624,0.9907748077947226,1.1646973208293927,1.2709250661058973,70000000.0,3,67058072.0
Luis Fernando Díaz Marulanda,16.0,82,2,53,14.0,30/06/2027,30/01/2022,2.41665762751645,-0.3700990472611269,-0.2224616017020763,-0.222443824065787,-0.1768716130181332,-0.184407389640929,1.830676119277535,1.342667025017937,1.0543555792211157,-0.4082473174791663,-0.6690557022354923,3.0765584192122297,-0.0128011414715706,1.4704245472018629,1.6062974972099613,0.6423978848032982,1.256685986843052,1.369799788205455,1.5730431479160747,0.9330404326481342,3.4439575281637915,1.1012405724742198,1.558117073398997,1.0569422023013637,85000000.0,3,67264328.0
Darwin Gabriel Núñez Ribeiro,92.0,354,2,53,14.0,30/06/2028,01/07/2022,3.5782519527443912,-0.1770710323474654,-0.3726291895544919,-0.2736007197021602,-0.3733665171265614,-0.2316299866877389,0.965190056835432,0.9413757726215664,1.9952964221718967,-0.1958662841643011,-0.6262917874002597,4.926448557084838,1.1916073303160373,0.5281898501666156,1.310727618022993,0.9438987694106034,1.072284184891986,1.2725362758068857,2.958667621181651,0.5887474899590859,4.094662556214376,0.5489117490767338,1.361407197114195,1.0569422023013637,50000000.0,3,49895120.0
bukayo-saka,46.0,211,2,11,5.0,30/06/2027,01/07/2019,,-0.514870058446373,-0.4727409147894356,-0.222443824065787,-0.4224902431536684,-0.2316299866877389,2.349967756742797,2.345895156008865,0.0193206519752555,0.2288957824654293,0.2717504241396247,4.229938870188884,-0.0988303180278283,1.268517112122881,1.5077742041476383,-0.4631053587568208,1.348886887818585,1.1752727634083169,2.958667621181651,1.5724416119277953,4.048183625639333,1.1564734548139683,1.361407197114195,1.627563172446787,150000000.0,2,
