Cluster,N_Muestras,N_Features,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_MAPE,Test_MAPE,Overfitting_Ratio,N_Estimators,Max_Depth,Min_Child_Weight,Gamma,Subsample,Colsample_Bytree,Learning_Rate
1,258,24,0.8935924894423064,0.36475023521245076,1701373.7036637932,4804622.298076923,4838618825345.993,51224548829063.59,2199686.0742719616,7157132.72400782,36.247524798196174,50.91011129887678,2.4498750190574343,50,4,5,0.2,0.8,0.8,0.1
0,104,24,0.9172486728152653,0.351677372900402,513537.875078755,1765904.25,621234611583.6606,5032035101297.577,788184.376642712,2243219.806728172,39.943047559724185,82.14026475595239,2.6082106598169963,50,4,5,0.2,0.8,0.8,0.1
3,81,24,0.9401328251372842,0.33067041834277433,3564983.1666666665,11017289.777777778,22378082039598.11,164869923620061.34,4730547.752596744,12840168.36416335,10.424354769271448,22.199292356760886,2.8431113670492856,50,4,5,0.2,0.8,0.8,0.1
