Cluster,N_Muestras,N_Features,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_MAPE,Test_MAPE,Overfitting_Ratio,N_Estimators,Max_Depth,Min_Child_Weight,Gamma,Subsample,Colsample_Bytree,Learning_Rate
2,30,16,0.8297559559624947,0.6668417524417303,2288378.08,2495080.0,9023206724458.24,10474495303232.0,3003865.297322475,3236432.4963193657,10.556460436926407,15.406441019607845,1.2443071432228596,50,4,5,0.2,0.8,0.8,0.1
0,87,16,0.9251258941594714,0.051120808069671675,105337.65579927884,609772.0729166666,21072133489.683094,2014786817532.0635,145162.4382878818,1419431.8643499813,33.48297211544989,68.03175752314814,18.09685584192318,50,4,5,0.2,0.8,0.8,0.1
1,111,16,0.9094222120702672,-1.1351435987790541,857081.4444444445,1727046.3645833333,1225749159817.272,4276811247443.267,1107135.5652390867,2068045.2720971238,41.762352798078744,162.44811562499999,0.8011516895733986,50,4,5,0.2,0.8,0.8,0.1
