Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Posición específica,Posición secundaria,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,understat_goals,understat_xg,understat_assists,understat_xa,understat_shots,understat_key_passes,understat_yellow_cards,understat_red_cards,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
david-preu,1.0,5,2,3.0,1.0,1,,30/06/2025,25000.0,01/07/2023,-0.6789912492160093,1.0,-1.0617880217587712,-0.9239678373549491,-0.32953877888765837,0.5009858248411938,-0.7363309741932195,-0.6389283327147213,0.2833902490609567,-0.6140515152729725,-1.164471814624751,-0.3596700104893391,-3.0160458303982414,-1.2657261155584738,-0.09983839541901071,-0.06090974890978205,-1.0661071279714311,-1.0150576340534792,-0.21638342444301084,-0.037401565265761556,-0.008451447832011252,-0.34436657375577207,-1.4347050915542414,-0.3348143683592436,0.11557798064378116,0.015634256890807077,0.5281898501666156,-3.508361482472361,0.4688777530299553,-0.8448452524328034,-3.462160466942637,-1.3201692181781888,-2.5936764381593016,-0.6334324831553751,-1.566787168285115,-1.4221360365694646,-0.5698614212349895,-0.7262483294030853,-0.7702620505112334,-1.5362847214537103,-1.2794455660978394,-1.045390417423762,-1.0111670209173529,-0.6113840659032037,-0.32257332693702007,-0.3759145109749066,-0.5698614212349895,-0.5149655689685982
oliver-baumann,1.0,5,3,,,93,14.0,30/06/2026,3000000.0,01/07/2014,,1.0,1.0780092510097476,1.646949789605477,-0.6143784839080351,-0.6870230799051025,-0.27445614977136057,-0.6754740407760377,-0.9250619458901272,-0.7979530211252412,-0.7960691196364885,-0.3596700104893391,1.4844816943006938,0.9413757726215665,-2.116411345454865,-1.8867415507617589,-2.1213602240969993,-2.294247849949166,-1.8420177599713374,-2.175744693765651,-2.180552526152674,-1.9130918550776204,-2.163560297675235,-2.7650611913081815,-1.982660699727442,-1.7791146208803672,-1.4235820222635391,1.3204730911035474,-1.4350299328040974,-0.5303711150936786,-0.6393379380902917,-1.7580681033809669,-0.012801141471570653,-1.878144646325071,-1.734016970786088,-1.509029674545407,3.065294304770932,-1.3681969208166869,-1.7068267777570896,-1.365130006496746,-1.765226001294775,-1.6400573107053846,-1.6953896582810744,3.1526622249131946,3.1813370562860106,3.10275439229847,3.065294304770932,3.073951806588953
Pavel Kadeřábek,77.0,307,1,6.0,4.0,93,,30/06/2025,2500000.0,01/07/2015,,1.0,0.5916916890169024,0.9750054098317293,0.240140631153095,0.01762904630270407,1.111168323494216,1.6555659917972545,0.004516665610706584,1.2249635432497148,1.4143470502930868,-0.3596700104893391,-0.07339321809509147,-0.8644348631621029,0.9822251387465696,-0.8368882646968722,0.7931483271069507,0.264132581842208,0.4240179804620875,0.2541906795296779,0.04091448576618563,0.2308326960622389,0.35430314165183446,0.3279802197177395,0.5089977332133855,-0.44967100771653445,-0.010229976710668465,0.40690979339999717,0.20626979636318943,-0.13727844341977258,1.1484496635161938,0.5565402898337178,0.5894030944222333,-0.5873320326676086,0.6072002642275326,0.6198644558651832,-0.22599533904524025,0.5576488534241177,0.1663026767346227,0.3464171430728956,0.6636761746899031,0.6536578490951598,0.8704452318328809,-0.3700990472611269,-0.32257332693702007,-0.17128692842941382,-0.22599533904524025,-0.5149655689685982
Arthur Largura Chaves,8.0,60,1,0.0,,93,,-,3000000.0,30/08/2024,-0.5879996937398206,1.0,-1.8398961209473235,-1.474724180841,-0.6143784839080351,-0.6583546018747007,0.18741867465049825,-0.6309178147650316,-0.8321040847400438,-0.6140515152729725,-1.164471814624751,-0.3596700104893391,-0.24649043058351205,0.13879326782882453,-1.1327172234861556,-0.6543050845116745,0.8936486219760524,0.062155179332362684,-0.7089998897546249,-1.1551718369816129,-1.29196572138513,-0.9195658435737831,0.1555244490733816,-0.279581486019495,0.2467178981669826,0.6138838828145319,-0.5486498035879525,-0.11512637671631724,-0.31894611697034236,-1.5524120614458343,0.772073326335881,-0.31925748057183856,-0.35691784769660145,-1.324939240471873,0.3284839267259111,0.750204912829097,-0.5698614212349895,-2.0101455122302885,-0.36051498234117135,-1.1939752915397819,0.7078380324350791,0.908515089072998,0.9132091466681135,-0.4666130547179576,-0.3726291895544919,-0.42707140661127974,-0.5698614212349895,-0.4205203748749785
Leo Skiri Østigård,65.0,267,1,0.0,,93,6.0,30/06/2025,7000000.0,03/02/2025,-0.13884988798501716,1.0,0.20263763942262625,0.07907957013339896,-0.32953877888765837,-0.386339949901078,-0.7363309741932195,-0.7701702886743473,-0.5997094318648354,-0.736652519174485,-0.42766642464822596,-0.3596700104893391,-0.24649043058351205,0.33943889402701,-0.444131338108059,-0.8825340597431716,0.8936486219760524,-0.40912542652394307,-0.7582615362857864,-0.28039510259529443,-0.5021107838139801,-1.2333108998381528,-0.5070711928547946,-0.3348143683592436,-0.2778417719258232,-0.2502544657419595,-0.010229976710668465,-0.11512637671631724,-0.2532941278036509,-1.0807008554371471,1.1484496635161938,-0.1315865297706479,1.1055781537597795,-1.0022360870575073,1.2761194742314241,0.576417636877212,-0.47161396918077547,-2.0814731334984664,-0.5361208686997694,-0.8516658616258536,0.5753524591995512,0.6961340557581328,0.6993895724919506,-0.22532803607588084,-0.3726291895544919,-0.222443824065787,-0.47161396918077547,-0.5621881660154082
alexander-prass,6.0,50,1,7.0,5.0,93,,30/06/2028,6500000.0,05/08/2024,0.2483482204242962,2.0,,,,,,,,,,,0.09970399439332911,0.33943889402701,0.7854863143528278,0.3042566114606133,-0.11135432671496476,0.39878418351543826,0.7688495061802174,0.49718421685921077,0.5839397553463513,0.9629044940124347,0.6856009626159226,0.38321310205748804,0.8368475270213891,1.0127169667636817,0.7973997636052575,0.27640075087091853,0.7971376988634127,0.4916698312584771,0.39569698915556833,1.1195531422372897,0.4173447413097179,0.7956814819653868,0.2727406592255868,0.7067580938411258,-0.47161396918077547,0.8429593384968296,0.34190856309322076,0.5175718580298598,0.796161747925431,0.5262292291062406,0.5283339131510202,-0.514870058446373,-0.1223498764671326,-0.2736007197021602,-0.47161396918077547,-0.23162998668773896
tom-bischof,1.0,5,0,9.0,10.0,93,,30/06/2025,25000000.0,01/07/2021,1.255063302288511,2.0,-0.9645245093602022,-1.5115134061426223,-0.6143784839080351,-0.6308429119383493,0.18741867465049825,-0.47653606951487776,-0.6926672930149187,-0.6140515152729725,-1.164471814624751,-0.3596700104893391,-0.07339321809509147,1.5433126512161228,0.8838557265496987,0.39554820155321213,-0.9153566856677785,0.8027389885351289,-0.0685984848495266,0.6429803392569305,0.9295012905337294,1.381231235698261,0.8181200910015578,0.659377513756231,-0.21227181316422247,-0.8485040916656843,0.8647022419649181,0.5374188359290758,1.3223536121969444,0.4916698312584771,-2.333031455401699,0.05608442103054276,-1.7333846725967248,1.072284184891986,-0.061718945776359,0.09850262800952848,-0.22599533904524025,0.9856145810331854,0.34190856309322076,0.6031492155083419,0.00124830851226366,0.3138481957913754,0.1862225944691595,-0.41835605098954226,-0.22246160170207635,-0.2736007197021602,-0.22599533904524025,-0.5621881660154082
bazoumana-toure,,89,2,3.0,5.0,93,,30/06/2029,9000000.0,01/02/2025,0.01602935537870818,2.0,,,,,,,,,,,-1.2850737055140355,1.1420213988197518,0.24445454727003757,0.39554820155321213,-0.8651065382332277,-0.40912542652394307,-0.31490671750533367,0.10839455713195818,-0.4033789166175863,-0.6581116300201417,-0.3082925002763418,0.05181580801899652,1.4925471146373963,1.2121335087382568,0.5954923285262761,-1.9422529721234176,0.7971376988634127,-0.6876081837632411,-1.2039024438607608,-0.1315865297706479,-1.647355496040467,0.1963756256244221,-1.6782737032857638,-1.509029674545407,-0.5698614212349895,-0.1556273592576617,-0.30197968688830534,-1.0228205765828178,-1.4119311393333673,-0.917961797434843,-1.224986595093516,-0.6113840659032037,-0.47274091478943564,-0.2736007197021602,-0.5698614212349895,-0.4205203748749785
marius-bulter,1.0,5,2,3.0,8.0,93,14.0,30/06/2026,2500000.0,06/07/2023,-0.44860837471246784,1.0,0.6889552014154714,-0.2238905205858432,-0.32953877888765837,-0.13275158206580298,1.111168323494216,0.8388947575167496,0.09747452676078996,0.4280570178898835,-0.7960691196364885,2.273875306699427,0.2728012068817497,-0.4631436107657319,0.7363016082543923,1.1715267173403023,0.29064685276144214,0.264132581842208,0.9166344457737016,0.5457829243251173,0.6333056889445482,-0.030621517491402447,0.08926488488056396,0.3279802197177395,0.7057076094981877,1.4115500507128316,0.19167745836831304,0.6679278784581544,0.33757377469657235,1.4350922432758515,0.772073326335881,0.5565402898337178,0.675432270978491,0.8417819324531532,0.5514569967272083,-0.7704337517498961,-0.1768716130181332,0.34366598961958394,1.1028674039804789,-0.08146964431951478,-0.440370268939496,-0.15339007750132813,-0.4980000428945619,-0.514870058446373,-0.5227967774069076,-0.5805420935203993,-0.1768716130181332,-0.23162998668773896
Andrej Kramarić,95.0,93,0,10.0,1.0,93,14.0,30/06/2026,4000000.0,01/07/2016,,1.0,0.6889552014154714,0.7499419138688637,3.6582170913976153,2.8461098582230817,2.0349179723379334,3.496848272127753,2.281984263787749,3.7995846251814767,0.30913896532829915,-0.3596700104893391,1.1382872693238526,0.5400845202251955,0.7854863143528278,1.3997556925717993,0.5418975899341965,0.9373905902083591,1.6062974972099613,0.9831712915182765,1.2750628257211076,1.5381037638304458,0.6856009626159226,0.9907748077947226,0.2467178981669826,0.015634256890807077,0.9993071986842391,1.450982133632626,1.256701623030253,1.2778551746062892,0.20750882056541195,0.9318821914360992,-0.012801141471570653,1.1644850858675189,0.4399704617265597,-1.1614551226416372,-0.5207376952078825,1.2709250661058973,2.390643903943531,1.2021907178577165,-0.8819888463912556,-1.3427238640645733,-1.1822226802582834,-0.4666130547179576,-0.17240573908460446,-0.17128692842941382,-0.5207376952078825,-0.13718479259411917
