Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Posición específica,Posición secundaria,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,understat_goals,understat_xg,understat_assists,understat_xa,understat_shots,understat_key_passes,understat_yellow_cards,understat_red_cards,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,Valor_Predicho
Ali Bina Dembélé,32.0,163,0,4.0,0.0,94,,30/06/2026,800000.0,01/07/2023,296776.2350913491,1.0,,,,,,,,,,,61.9966856075174,73.9988506691361,0.1460851350731666,-0.6543050845116745,51.998341736665175,-0.8130802315436337,-0.7582615362857864,59.99899437106387,-0.551476717412177,-0.2920757310450438,49.99662456976789,61.998649628716365,65.99966991240353,-0.0508379237673845,-0.0102299767106684,56.996029842977705,-0.4502500953037253,-1.0807008554371471,63.99765381704065,-0.1941435133710448,66.99942675735942,-0.5873320326676086,-0.4519218182786291,60.00113837537039,-0.5698614212349895,47.99594988210305,46.9988905072943,-1.5362847214537103,0.1337338817477915,62.00143758839425,0.2717504241396247,10.998220799399233,6.997213747671745,9.998039678058586,5.996905286504015,12.998691458782467,622032.0
borna-sosa,21.0,94,0,5.0,7.0,94,,30/06/2025,6000000.0,17/08/2024,5998939.833575038,2.0,1.9931297052014578,31.50536508590517,-0.0007084668010173267,-0.6810669665816996,-0.0005236399978296724,-0.8162390585560175,-0.8785830153150855,-0.8592535230759976,-1.164471814624751,-0.3596700104893391,73.99988688808655,74.99911744251686,1.424887493632489,-0.5173676993727763,64.00154301723433,0.5334357851886684,-0.2163834244430108,75.00299597177532,1.3737946929175011,1.0674861794338912,72.00249358414467,76.00238445604704,72.00127055268811,0.1485786182071903,0.3935848934472946,72.00003144368914,0.2719217855298809,0.3344327625889146,76.0008550976098,0.5565402898337178,71.00049385088246,0.5190787790387877,0.1055108567246139,70.00380610917802,-0.4716139691807754,76.0034195367644,30.99462213320209,0.5175718580298598,0.3103813127284954,70.00357177544036,0.7849174021624157,9.99795402601847,5.996946974290983,5.996972584535536,7.997438833265541,8.997624365259416,6720271.0
Emirhan İlkhan,88.0,349,0,9.0,10.0,94,,30/06/2026,2500000.0,08/08/2022,2997801.097530992,1.0,,,,,,,,,,,63.99721915427893,79.00018453603992,-0.1490231015174462,0.2129650213680144,48.99754141652289,-0.0724964223408675,-0.0685984848495266,73.00246242501379,0.1396463529625793,0.2308326960622389,63.0000926237178,68.00025026900094,68.00020345916506,-0.2502544657419595,0.460887371806955,53.995229522835416,0.7314857096967212,-0.294515512089335,43.99231834942539,-0.0064725625698541,34.990890009175004,0.2424760761121886,-0.2289487482773319,49.99847064156276,-0.1277478869910261,67.00101857633753,49.99969082743659,-0.4237790742334431,-0.440370268939496,54.999570174728916,-0.1558887242127012,7.997420479256943,10.998280841194799,5.996972584535536,14.999306246930882,14.999225005543995,1629529.0
amine-salama,32.0,164,2,1.0,3.0,94,,30/06/2025,1800000.0,03/02/2025,1797345.6031133728,1.0,10.99608585571639,284.58846576149153,-0.0007084668010173267,-0.3101909509201727,-0.0005236399978296724,-0.7196823163797536,-0.6461883624398771,-0.6140515152729725,-1.164471814624751,-0.3596700104893391,66.99801947442121,72.99858389575535,-0.0998383954190107,0.715068766877308,67.00234333737662,-0.6111028290337884,0.6210645665867331,68.00112855810998,0.0902804193643825,0.1785418533515106,51.997158116529405,69.0005170423817,66.9999366857843,0.6803560634727235,-0.5486498035879525,65.99843080340457,-0.8441620303038742,0.0199586252497898,75.00058832422904,-0.7571563657746168,72.00076062426324,0.4268778780632546,-0.8421246907808992,18.990200666759108,-0.1768716130181332,55.998084069149144,69.00475952167109,0.0896850706374493,-1.6769022858044231,22.991033426544504,-1.4388061692696787,5.996886932495418,6.997213747671745,8.997772904677825,13.999039473550116,14.999225005543995,1814520.0
Duván Esteban Zapata Banguero,16.0,82,2,1.0,,94,6.0,30/06/2027,4000000.0,01/07/2024,7999698.990937736,1.0,37.00462584609286,3036.4920624355555,13.003561528387216,3.094112348561184,4.000790204675473,0.6248354627942284,3.908746833914208,0.8571605315451771,-0.4276664246482259,-0.3596700104893391,82.00202107513266,82.00098485618221,-0.4933160442064945,1.4454014876180987,87.00767880499188,0.3987841835154382,1.5077742041476383,79.00406306529837,-0.0578173814302081,0.7537411231695217,56.998491983433226,80.00345154957009,75.0020708728304,0.215050798865382,0.057072501648992,78.00163208397372,-0.3845981061370338,1.7495663806149764,95.00592379184431,0.6816542570345117,95.00689641202078,0.7034805809898538,0.9416598692294784,19.990467440139874,-0.5698614212349895,70.00181889647982,75.00636016195566,1.2021907178577165,-0.4845321266846719,23.991300199925263,-1.3532783395992136,8.997687252637707,8.997747294433271,7.997506131297062,5.996905286504015,7.997357591878654,4785729.5
Łukasz Skorupski,71.0,289,3,,,19,,30/06/2026,2500000.0,01/07/2018,,1.0,32.00298354025122,2880.4408224932968,-0.0007084668010173267,-0.6870230799051025,-0.0005236399978296724,-0.8221134815946767,-0.9250619458901272,-0.9205540250267538,-0.4276664246482259,-0.3596700104893391,79.00122075499037,79.00018453603992,-1.870487814962688,-1.8867415507617589,9.987137254673137,-2.226922049112551,-1.546447880784369,17.98778988907185,-2.180552526152674,-1.494765113391794,25.99022200862958,22.988245466866616,50.99566831169209,-1.114392814298451,-1.2216745871845576,76.0010985372122,-1.7632898786375548,-1.1593193897719285,62.997387043659884,-2.258523972184142,57.99702579693255,-1.785943745349538,-1.6782737032857638,16.989667119997584,2.967046852716717,31.991681508010835,21.992221172775224,-0.8516658616258536,-1.632740428059247,11.988098919356105,-1.7809174879515397,79.01636138929109,76.01562111094438,68.01351253414282,78.01611296991894,83.01736559543586,2492927.0
emil-holm,85.0,327,1,6.0,4.0,19,,30/06/2028,8000000.0,01/07/2024,12001217.30566313,1.0,21.99969892856797,955.808863205438,0.9996199943673083,0.2934636624145403,0.9998048211704962,-0.2414185806041959,0.2833902490609567,-0.6753520172237288,0.6775416603165617,-0.3596700104893391,75.00015366146732,79.00018453603992,0.8346710204512632,0.2129650213680144,65.0018097906151,0.1294809801689778,0.2762330408686033,74.00272919839455,0.28774415375717,-0.3966574164665004,64.00035939709856,74.00185090928551,79.00313796635345,1.145661328080065,-0.750557238666934,72.00003144368914,-0.3845981061370338,0.4130512969236958,85.00325605803667,1.2446671094380837,86.00449545159391,0.2885765265999551,0.6629435317278569,67.00300578903574,-0.6189851472620966,62.99995148281449,59.002091787863456,-0.338201716754961,0.4428668859640233,69.00330500205959,0.7421534873271831,6.99715370587618,11.99854761457556,10.998306451439351,4.99663851312325,8.997624365259416,8244455.0
sam-beukema,69.0,275,1,0.0,,19,,30/06/2027,25000000.0,03/07/2023,4498370.465553015,1.0,30.002326617914573,2554.3337441524222,0.9996199943673083,0.0897705463615351,0.9998048211704962,-0.5347556469152914,-0.3673147789896269,-0.49145051137146,0.3091389653282991,2.273875306699427,78.00095398160961,81.00071808280144,-0.7392395746986719,-0.1065555439560814,80.00581139132655,0.3314583826788231,-0.6597382432234635,58.998727597683114,-0.4527448502157832,0.1262510106407823,74.00302713090619,66.99998349562017,41.99326735126523,-0.6490875496911094,-0.9524646737459156,76.0010985372122,-0.5159020844704167,0.098577159584571,76.0008550976098,0.1811983882313365,79.00262803792857,0.3346769770877216,0.8301733342288298,80.00647384298566,-0.5698614212349895,52.997283749006854,46.9988905072943,0.3464171430728956,1.016971036651311,80.00623950924799,0.9987369763385788,11.998487572779997,10.998280841194799,6.997239357916298,5.996905286504015,12.998691458782467,12615972.0
Jhon Janer Lucumí Bonilla,16.0,82,1,0.0,,19,,30/06/2026,18000000.0,18/08/2022,9000078.569619082,2.0,29.001998156746247,2201.2177973600033,-0.0007084668010173267,-0.4676809479688483,-0.0005236399978296724,-0.6147530510714169,-0.4137937095646686,-0.6753520172237288,-0.7960691196364885,-0.3596700104893391,76.00042043484808,77.99991776265915,0.1460851350731666,-1.2933462151598665,75.00447752442273,0.3987841835154382,-1.1030930620039163,57.998460824302356,-0.1565492486266018,-0.8672750008630549,71.0022268107639,69.0005170423817,62.998869592261244,0.015634256890807,-1.2216745871845576,74.00056499045067,-1.1724219761373316,-0.2158969777545538,83.00272251127515,0.1811983882313365,83.00369513145162,-0.4029302307165425,0.5514569967272083,75.00513997608184,-0.4716139691807754,47.99594988210305,35.995956000105906,0.2608397855944135,1.016971036651311,78.00570596248646,0.955973061503346,5.996886932495418,10.998280841194799,9.998039678058586,7.997438833265541,6.997090818497892,6145117.0
Juan Miranda González,28.0,113,1,7.0,,19,,30/06/2027,11000000.0,03/07/2024,9000078.569619082,2.0,25.000684312072945,1871.1094051744558,0.9996199943673083,0.0602859061612023,0.9998048211704962,0.2675470156819085,-0.2278779872645018,0.3667565159391273,1.7827497452813494,-0.3596700104893391,75.00015366146732,77.99991776265915,0.9330404326481342,0.1216734312754156,70.0031436575189,0.3987841835154382,-0.1671217779118494,75.00299597177532,0.7814034897391389,1.3289403929875327,63.0000926237178,74.00185090928551,80.00340473973421,1.0127169667636815,0.3935848934472946,68.99923112354686,0.0749658180298064,1.0419995716019457,78.00138864437133,0.0560844210305427,64.99889321059788,0.6573801305020872,0.6072002642275326,71.00407288255879,-0.4224902431536684,65.00048502957601,43.99809018715201,-0.2526243592764789,0.6195143169447271,75.00490564234417,0.8704452318328809,10.998220799399233,7.997480521052511,11.998573224820113,8.997705606646303,5.996824045117126,9012861.0
