Metrica,Valor
R2_Train,0.7820376385713563
R2_Test,0.7459067880050744
MAE_Train,4205407.965864555
MAE_Test,5505399.471167798
RMSE_Train,8170530.403983465
RMSE_Test,10122283.15736923
MAPE_Train,81.2631010465348
MAPE_Test,122.76398033348308
CV_Score,0.7093856869413797
Overfitting_Ratio,1.0484388279437888
