Cluster,N_Muestras,N_Features,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_MAPE,Test_MAPE,Overfitting_Ratio,N_Estimators,Max_Depth,Min_Child_Weight,Gamma,Subsample,Colsample_Bytree,Learning_Rate
1,85,24,0.9374917257418662,0.7563612193866979,2590029.0,6197787.555555556,10885216419395.764,53221538076194.664,3299275.135449568,7295309.320117597,10.602885245577081,18.44376102955686,1.2394761943268848,50,4,5,0.2,0.8,0.8,0.1
2,108,24,0.9409610836874536,0.7328075600869408,452951.6582433956,982884.7698863636,320556483340.831,1427903449369.6772,566177.0777246559,1194949.140913402,50.34519410369899,96.54494957738095,1.284049367034119,50,4,5,0.2,0.8,0.8,0.1
0,321,24,0.8591367164281323,0.3516186561189444,1744424.545138889,4038962.4545454546,5100456365212.129,28011550626582.47,2258418.9968232485,5292593.941214692,40.22597856970086,81.45176557697354,2.443376372320547,50,4,5,0.2,0.8,0.8,0.1
3,15,24,0.5844841878506228,-0.017905862915249537,10588740.363636363,37820856.0,213595731534638.53,2054897460760160.0,14614914.694743808,45330976.834391735,10.570495679774771,29.169133015873015,32.64205643799755,50,4,5,0.2,0.8,0.8,0.1
