Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,overallrating,potential,jumping,acceleration,understat_minutes,headingaccuracy,longshots,strength,understat_matches,understat_xa,crossing,understat_yellow_cards,understat_xg,penalties,ballcontrol,standingtackle,balance,volleys,Valor de mercado actual (numérico)
Rúben Santos Gato Alves Dias,72.0,292,1,54,6.0,30/06/2027,29/09/2020,,-0.514870058446373,-0.4727409147894356,-0.222443824065787,-0.5207376952078825,-0.2788525837345488,2.0037733317659554,1.7439582774143083,1.242543747811272,-0.6056915657338268,1.097275482157709,1.3458999488870105,-1.2788387899841065,1.7077823896535833,0.6889552014154714,-0.5346951590057333,-0.1490231015174462,-1.164471814624751,-0.1521996915276479,-0.3605149823411713,0.4384459843972366,1.2908009490397554,-0.5815540736371082,-0.8075231828169478,70000000.0
Joško Gvardiol,21.0,93,1,54,,30/06/2028,05/08/2023,5.127044386381645,-0.6113840659032037,-0.4727409147894356,-0.5805420935203993,-0.4224902431536684,-0.3260751807813587,1.6575789067891142,1.7439582774143083,1.6189200849915846,0.8368475270213891,0.8624736618502965,1.094649211714256,0.9339828334286864,1.1916073303160373,0.4944281766183333,0.1904654003227473,0.7854863143528278,-0.0592637296599633,0.2145638171435353,0.5760497449046847,0.7698432784357282,1.2058485357138091,0.1406178071964979,0.5718029200555718,75000000.0
Manuel Obafemi Akanji,86.0,341,1,54,7.0,30/06/2027,01/09/2022,1.6422614106978242,-0.3700990472611269,-0.4226850521719638,-0.222443824065787,-0.5698614212349895,-0.4205203748749785,1.4844816943006938,0.9413757726215664,1.6189200849915846,0.5745676919749862,1.0594042208178038,1.044399064279705,-0.264628879253243,1.4496948599848103,0.6889552014154714,-0.570098340893272,-0.0998383954190107,-0.4276664246482259,-0.0432925220992292,-0.6531914596055014,0.6041446314164824,1.2058485357138091,-0.7128580519704912,-0.3149067175053336,32000000.0
"Abdukodir Khikmatovich Khusanov, Абдукодир Хусанов",93.0,357,1,54,,30/06/2029,20/01/2025,0.2483482204242962,-0.2735850398042961,-0.5227967774069076,-0.4270714066112797,-0.4716139691807754,-0.6094107630622181,0.4458984193701703,1.342667025017937,1.4307319164014285,0.7712775682597884,-0.7778929721867431,0.692648032237849,-0.8178342851064412,1.1916073303160373,-1.1590515341573402,-0.787324496053242,-0.4933160442064945,0.3091389653282991,-0.6301937874013028,-0.3019796868883053,0.1070486903587451,0.908515089072998,-0.9098140194705656,-0.5612149501611408,35000000.0
vitor-reis,8.0,60,1,54,,30/06/2029,21/01/2025,0.4032274637880215,-0.4183560509895422,-0.4226850521719638,-0.1201300327930406,-0.1277478869910261,-0.184407389640929,-0.7657820680487738,1.1420213988197518,0.1134147362703337,-0.2122718131642224,,0.5921477373687473,-0.9561356365697408,0.1592572116409447,,,-1.4278254600767684,,,-0.3605149823411713,-0.003417074320752,0.6111816424321866,-0.5815540736371082,-0.8075231828169478,30000000.0
Nathan Benjamin Aké,69.0,279,1,54,6.0,30/06/2027,05/08/2020,,-0.3700990472611269,-0.5227967774069076,-0.5293851978840262,-0.0786241609639191,-0.3732977778281686,1.4844816943006938,0.9413757726215664,1.5248260006965064,0.6401376507365869,0.5497652467865073,1.1951495065833575,0.104174724648889,0.7614614475347486,0.5916916890169024,0.009187627065689,0.293639253368473,-1.164471814624751,-0.049225654102892,0.1077673812817567,0.659377513756231,1.1633723290508362,0.2062697963631894,0.1777097478062804,32000000.0
john-stones,46.0,196,1,54,6.0,30/06/2026,09/08/2016,,-0.514870058446373,-0.1223498764671326,-0.3247576153385333,-0.3733665171265614,-0.4677429719217884,1.4844816943006938,0.9413757726215664,1.1484496635161938,0.0500080218821804,-0.5171222869605383,1.2956498014524591,0.3346769770877216,0.675432270978491,-0.672733972164495,-0.6969845633615349,0.293639253368473,-0.4276664246482259,-0.4679115850901668,0.0492320858288907,0.659377513756231,1.2058485357138091,0.1406178071964979,-0.2163834244430108,30000000.0
Trent John Alexander-Arnold,46.0,196,1,53,14.0,30/06/2025,01/07/2016,5.127044386381645,-0.1770710323474654,-0.1223498764671326,-0.1712869284294138,-0.5698614212349895,-0.5149655689685982,2.0037733317659554,1.7439582774143083,0.2075088205654119,0.377857815690184,0.7055784362992604,0.5418975899341965,1.0261837344042193,-0.0988303180278283,0.4944281766183333,3.18000554862083,1.769180436321537,1.0459443553048242,0.1161116169624728,0.8687262221690149,0.9907748077947226,1.0784199157248902,0.4688777530299553,1.1136810318983472,75000000.0
virgil-van-dijk,69.0,286,1,53,6.0,30/06/2027,01/01/2018,,-0.2253280360758808,-0.3726291895544919,-0.222443824065787,-0.3242427910994543,-0.3260751807813587,2.6961621817196377,2.345895156008865,1.5248260006965064,-0.081131895641021,1.773548006084589,1.4966503911906628,0.4729783285510212,2.051899095878614,1.2725362758068857,0.0696036840935283,-0.1982078076158816,-0.0592637296599633,0.2783937266366602,0.6345850403575508,0.5489117490767338,1.4607057756916475,-0.9754660086372572,-0.1671217779118494,28000000.0
Andrew Henry Robertson,25.0,106,1,53,6.0,30/06/2026,21/07/2017,,-0.3218420435327115,-0.4727409147894356,-0.3759145109749066,-0.5207376952078825,-0.184407389640929,1.311384481812273,0.740730146423381,0.3016029048604901,0.7057076094981877,0.1580682009280585,0.4413972950650947,0.5190787790387877,-0.184859494584086,0.0081106146254881,2.363366830216289,1.424887493632489,-0.4276664246482259,0.0246386678759041,0.2248379721874887,0.7146103960959796,1.0359437090619172,0.6001817313633383,-0.8075231828169478,20000000.0
conor-bradley,49.0,217,1,53,,30/06/2029,01/07/2023,-0.5647678072352618,-0.1288140286190501,-0.4226850521719638,-0.3759145109749066,-0.6189851472620966,-0.3732977778281686,0.4458984193701703,1.1420213988197518,0.3016029048604901,0.9679874445445906,-0.8244205218329125,0.1901465578923404,0.104174724648889,-0.3569178476966014,-1.1590515341573402,0.1119665715165218,0.7363016082543923,-0.4276664246482259,-0.4228863170974046,-0.7117267550583675,0.4936788667369852,0.8235626757470519,0.0749658180298064,0.3254946873997646,25000000.0
Jarell Amorin Quansah,46.0,201,1,53,,30/06/2029,01/07/2023,-0.6499513910853107,-0.4183560509895422,-0.5728526400243794,-0.3247576153385333,-0.4224902431536684,-0.4205203748749785,0.0997039943933291,0.9413757726215664,0.8661674106309593,0.1155779806437811,-0.3851138902900113,0.7931483271069507,-1.1866378890085734,0.8474906240910064,-0.575470459765926,-0.7859661040464467,-0.9359783990924138,-0.7960691196364885,-0.2696404965660999,-0.3605149823411713,0.2175144550382423,0.7386102624211058,-0.5815540736371082,-0.364168364036495,22000000.0
Κωνσταντίνος Τσιμίκας,38.0,186,1,53,14.0,30/06/2027,10/08/2020,,-0.4666130547179576,-0.2725174643195482,-0.4782283022476529,-0.2259953390452402,-0.3732977778281686,0.6189956318585909,-0.0618523583693609,0.5838851577457247,1.0335574033061914,-0.9423624500057602,-0.1616044741495156,0.4729783285510212,0.675432270978491,-0.9645245093602022,-0.2631616381731893,1.2773333753371825,-1.164471814624751,-0.6598933135808293,0.1663026767346227,0.4384459843972366,0.866038882410025,0.5345297421966467,-0.5612149501611408,20000000.0
Joseph Dave Gomez,46.0,202,1,53,6.0,30/06/2027,01/07/2015,,-0.4666130547179576,-0.2224616017020763,-0.1712869284294138,-0.5207376952078825,-0.5149655689685982,0.965190056835432,0.5400845202251955,1.33663783210635,0.5089977332133855,0.228400543416454,0.8936486219760524,-1.4632405919351723,1.0195489772035218,0.8834822262126095,-0.1039553967987469,0.7854863143528278,0.6775416603165617,-0.4481541186250805,-1.4726855959456255,0.4936788667369852,1.0784199157248902,-0.0563381603035764,-0.7089998897546249,25000000.0
William Alain André Gabriel Saliba,32.0,145,1,11,,30/06/2027,25/07/2019,1.6422614106978242,-0.514870058446373,-0.3726291895544919,-0.5805420935203993,-0.4716139691807754,-0.3260751807813587,2.176870544254376,2.1452495298106795,1.5248260006965064,0.6401376507365869,2.03648276338736,1.044399064279705,-1.417140141447406,1.6217532130973258,1.4670633006040237,-0.7029780775510867,0.0477157228762956,0.3091389653282991,0.0055068403016771,-0.2434443914354393,0.8250761607754767,1.3757533623657014,-1.238073965304023,-0.7089998897546249,80000000.0
Jakub Piotr Kiwior,71.0,289,1,11,,30/06/2028,23/01/2023,-0.0614102663031544,-0.514870058446373,-0.5227967774069076,-0.5805420935203993,-0.2259953390452402,-0.184407389640929,0.2728012068817497,0.33943889402701,0.5838851577457247,-0.2778417719258232,-0.6329001430568201,0.7931483271069507,-1.1866378890085734,0.5894030944222333,-0.2836799225702189,-0.3875037970204733,0.3920086655653439,-0.7960691196364885,-0.3370779005440669,-0.7117267550583675,-0.1138828390002492,0.908515089072998,-0.6472060628037998,-0.8075231828169478,22000000.0
kieran-tierney,50.0,108,1,11,14.0,30/06/2025,08/08/2019,0.0934689770605708,-0.2253280360758808,-0.0722940138496607,-0.4782283022476529,-0.2751190650723473,-0.2316299866877389,0.6189956318585909,-0.0618523583693609,0.3016029048604901,0.7057076094981877,-0.3061252594953518,0.0393961155886878,0.5651792295265542,0.1592572116409447,-0.2836799225702189,-0.4397619559796261,1.129779257041876,-0.7960691196364885,-0.6463557482374778,-0.5361208686997694,0.4936788667369852,0.866038882410025,0.5345297421966467,-0.5119533036299793,10000000.0
