Cluster,N_Muestras,N_Features,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_MAPE,Test_MAPE,Overfitting_Ratio,N_Estimators,Max_Depth,Min_Child_Weight,Gamma,Subsample,Colsample_Bytree,Learning_Rate
1,59,24,0.9364706285118694,0.5650857043591551,2416013.547169811,8645928.666666666,12431040220615.17,95741549804269.33,3525768.032729205,9784761.101032019,5.525757361409031,17.528089666666666,1.6572187568855412,50,4,5,0.2,0.8,0.8,0.1
2,273,24,0.8739729560845582,0.47884431715356557,2283782.986734694,4704547.732142857,7985876506284.404,36634286413812.67,2825929.3172838567,6052626.406264694,35.08231161157993,62.23037332917238,1.8251714070238714,50,4,5,0.2,0.8,0.8,0.1
0,339,24,0.8358308898706834,0.14667070341025468,862237.331147541,1558848.6011029412,1555810114599.9468,5018107749322.742,1247321.1753994825,2240113.334035299,49.629956211838135,73.99944131419235,5.69869012990801,50,4,5,0.2,0.8,0.8,0.1
