Cluster,N_Muestras,N_Features,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_MAPE,Test_MAPE,CV_Score,Overfitting_Ratio,Best_Kernel,Best_C,Best_Gamma,Best_Epsilon
2,273,24,0.31015477427365445,0.3242758508339876,5578422.70913538,5630746.060605859,44003922548833.375,44136831038691.89,6633545.247364593,6643555.602137449,100.55556518248183,83.1436203058634,0.14473929650609912,0.9564535054830142,linear,0.13081002246584925,0.0703069183380381,0.9963151367317926
0,339,24,0.36432586435600756,0.2737002083750181,1691267.775468801,1651348.0574593786,6189850619197.185,5253719951810.928,2487941.0401368407,2292099.4637691723,95.2459810112998,85.59487451642028,0.2286484845762929,1.3311128497820366,linear,0.10168021629960075,0.0021530058875471824,0.5419767992392822
1,59,24,-0.0020461529320983107,-0.014321178533635681,11459341.209776497,12054526.810430853,192374228273342.28,226080920459830.38,13869903.686520044,15035987.511960443,26.772779655653927,25.53455070155204,-0.26472439646884266,0.14287601591535073,rbf,0.341591221328338,0.0001,1.0
