Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,overallrating,shotpower,gk_kicking,gk_reflexes,gk_diving,gk_handling,gk_positioning,reactions,longshots,ballcontrol,volleys,positioning,finishing,potential,crossing,Valor de mercado actual (numérico),Cluster,Valor_Predicho
Dean Bradley Henderson,46.0,196,3,30,,30/06/2028,31/08/2023,1.0227444372429229,0.965190056835432,-0.7662267180980222,2.9492837053893504,3.026729209542143,3.1044052211847792,2.9310577431986515,2.967046852716717,0.5374188359290758,-2.2008477997394365,-1.770869309192707,-2.1375876391583057,2.967046852716717,-1.9780331408543577,0.5400845202251955,-2.116411345454865,15000000.0,2,21890497.306970242
Matthew Charles Turner,29.0,134,3,30,,30/06/2025,30/08/2024,-0.3711687530306051,-0.0733932180950914,-1.2379379241067094,2.540028540298365,2.6489484331676643,2.718349191357456,2.730834292728764,2.7214282225811823,-0.1151263767163172,-1.6476423938862383,-2.378431014929941,-1.5957095273155304,2.7214282225811823,-1.704158370576561,-0.8644348631621029,-2.1655960515533006,4000000.0,1,2747555.875421033
Remi Luke Matthews,46.0,196,3,30,,30/06/2025,12/07/2021,-0.6538233721694039,-1.9774625554677177,-1.4737935271110532,2.284244062116499,2.129499865652756,2.2357791540733025,2.280331529171517,2.1810672362830053,-2.203271057181575,-1.5554414929107054,-2.212732367910696,-1.5957095273155304,2.1810672362830053,-1.704158370576561,-3.071536751342143,-2.2639654637501714,500000.0,0,156471.26120037131
Matz Willy Els Sels,11.0,67,3,58,,30/06/2027,01/02/2024,-0.1388498879850171,1.1382872693238526,-0.5303711150936786,3.153911287934843,2.9795066124953333,3.0561482174563634,3.0311694684335952,3.2126654828522527,0.9289459635163116,-1.6476423938862383,-1.881335073872204,-1.447924587722046,3.2126654828522527,-1.6585125755302617,0.5400845202251955,-2.018041933257994,7000000.0,1,5268860.083469245
carlos-miguel,8.0,60,3,58,6.0,30/06/2028,09/07/2024,-0.3711687530306051,-0.246490430583512,-1.0807008554371471,2.642342331571111,2.507280642027234,2.57357818017221,2.830946017963708,2.7214282225811823,-0.1151263767163172,-1.970345547300604,-2.709828308968433,-1.9898026995648217,2.7214282225811823,-2.114970525993256,-0.2624979845675464,-2.1655960515533006,4000000.0,1,3652841.2569489283
bart-verbruggen,69.0,275,3,23,,30/06/2028,03/07/2023,0.0934689770605708,0.6189956318585909,-0.6876081837632411,3.000440601025724,2.9795066124953333,2.9596342099995328,2.9310577431986515,2.8196756746353966,0.5374188359290758,-2.15474734925167,-2.4336638972696902,-2.088325992627144,2.8196756746353966,-2.0236789359006573,1.1420213988197518,-2.313150169848607,25000000.0,2,22068341.616343893
Jason Sean Steele,46.0,196,3,23,,30/06/2026,01/07/2018,,-0.246490430583512,-0.5303711150936786,3.10275439229847,2.5545032390740445,2.718349191357456,2.730834292728764,2.7214282225811823,-0.8981806318907889,-1.9242450968128373,-1.494704897493964,-1.792756113440176,2.7214282225811823,-1.704158370576561,-1.0650804893602883,-2.2639654637501714,2000000.0,1,3402441.6830393225
Alphonse Francis Aréola,32.0,152,3,110,11.0,30/06/2027,01/07/2022,-0.0614102663031544,0.6189956318585909,-0.7662267180980222,2.898126809752977,2.8850614184017136,2.9113772062711174,2.9310577431986515,2.917923126689611,0.4069097933999971,-1.8320441958373044,-2.488896779609439,-1.5957095273155304,2.917923126689611,-1.5215751903913637,-0.0618523583693609,-1.821303108864252,10000000.0,1,3902137.136261433
Łukasz Marek Fabiański,71.0,289,3,110,14.0,30/06/2025,01/07/2018,-0.626719504580752,0.4458984193701703,-1.1593193897719285,2.591185435934738,2.743393627261284,2.863120202542702,3.0311694684335952,2.917923126689611,0.1458917083418399,-1.5554414929107054,-2.488896779609439,-1.546447880784369,2.917923126689611,-1.79544996066916,-0.2624979845675464,-2.116411345454865,700000.0,1,3666405.9256616775
Wesley Andrew Foderingham,46.0,196,3,110,6.0,30/06/2026,01/07/2024,-0.6112315802443794,-0.246490430583512,-0.9234637867675848,2.795813018480231,2.696171030214474,2.718349191357456,2.680778430111292,2.672304496554076,-0.6371625468326316,-1.785943745349538,-2.157499485570947,-1.7434944669090149,2.672304496554076,-1.79544996066916,-1.0650804893602883,-1.7721184027658168,900000.0,1,2681944.4518079315
